Build model ...
Saving everything to directory ../checkpoints_50.
epoch: 1
Epoch: [0][156/849]	Time 2.036 (2.121)	Data 0.846 (0.861)	Loss 0.1186 (0.1485)	Prec 0.881 (0.851)	
Epoch: [0][157/849]	Time 2.037 (2.121)	Data 0.846 (0.861)	Loss 0.1217 (0.1483)	Prec 0.878 (0.852)	
Epoch: [0][158/849]	Time 2.036 (2.120)	Data 0.844 (0.861)	Loss 0.1221 (0.1482)	Prec 0.878 (0.852)	
Epoch: [0][159/849]	Time 2.034 (2.120)	Data 0.845 (0.861)	Loss 0.1268 (0.1480)	Prec 0.873 (0.852)	
Epoch: [0][160/849]	Time 2.039 (2.119)	Data 0.848 (0.861)	Loss 0.1236 (0.1479)	Prec 0.876 (0.852)	
Epoch: [0][161/849]	Time 2.044 (2.119)	Data 0.846 (0.860)	Loss 0.1189 (0.1477)	Prec 0.881 (0.852)	
Epoch: [0][162/849]	Time 2.023 (2.118)	Data 0.834 (0.860)	Loss 0.1240 (0.1476)	Prec 0.876 (0.852)	
Epoch: [0][163/849]	Time 2.035 (2.118)	Data 0.845 (0.860)	Loss 0.1229 (0.1474)	Prec 0.877 (0.853)	
Epoch: [0][164/849]	Time 2.038 (2.117)	Data 0.845 (0.860)	Loss 0.1292 (0.1473)	Prec 0.871 (0.853)	
Epoch: [0][165/849]	Time 2.037 (2.117)	Data 0.846 (0.860)	Loss 0.1302 (0.1472)	Prec 0.870 (0.853)	
Epoch: [0][166/849]	Time 2.036 (2.116)	Data 0.845 (0.860)	Loss 0.1291 (0.1471)	Prec 0.871 (0.853)	
Epoch: [0][167/849]	Time 2.038 (2.116)	Data 0.846 (0.860)	Loss 0.1294 (0.1470)	Prec 0.871 (0.853)	
Epoch: [0][168/849]	Time 2.032 (2.115)	Data 0.844 (0.860)	Loss 0.1266 (0.1469)	Prec 0.873 (0.853)	
Epoch: [0][169/849]	Time 2.033 (2.115)	Data 0.845 (0.860)	Loss 0.1338 (0.1468)	Prec 0.866 (0.853)	
Epoch: [0][170/849]	Time 2.035 (2.114)	Data 0.845 (0.860)	Loss 0.1323 (0.1467)	Prec 0.868 (0.853)	
Epoch: [0][171/849]	Time 2.036 (2.114)	Data 0.846 (0.860)	Loss 0.1212 (0.1466)	Prec 0.879 (0.853)	
Epoch: [0][172/849]	Time 2.038 (2.113)	Data 0.847 (0.859)	Loss 0.1173 (0.1464)	Prec 0.883 (0.854)	
Epoch: [0][173/849]	Time 2.037 (2.113)	Data 0.847 (0.859)	Loss 0.1227 (0.1463)	Prec 0.877 (0.854)	
Epoch: [0][174/849]	Time 2.033 (2.113)	Data 0.844 (0.859)	Loss 0.1317 (0.1462)	Prec 0.868 (0.854)	
Epoch: [0][175/849]	Time 2.032 (2.112)	Data 0.845 (0.859)	Loss 0.1169 (0.1460)	Prec 0.883 (0.854)	
Epoch: [0][176/849]	Time 2.034 (2.112)	Data 0.845 (0.859)	Loss 0.1293 (0.1459)	Prec 0.871 (0.854)	
Epoch: [0][177/849]	Time 2.038 (2.111)	Data 0.848 (0.859)	Loss 0.1216 (0.1458)	Prec 0.878 (0.854)	
Epoch: [0][178/849]	Time 2.036 (2.111)	Data 0.845 (0.859)	Loss 0.1241 (0.1457)	Prec 0.876 (0.854)	
Epoch: [0][179/849]	Time 2.036 (2.110)	Data 0.846 (0.859)	Loss 0.1301 (0.1456)	Prec 0.870 (0.854)	
Epoch: [0][180/849]	Time 2.036 (2.110)	Data 0.847 (0.859)	Loss 0.1242 (0.1455)	Prec 0.876 (0.855)	
Epoch: [0][181/849]	Time 2.033 (2.110)	Data 0.845 (0.859)	Loss 0.1115 (0.1453)	Prec 0.889 (0.855)	
Epoch: [0][182/849]	Time 2.035 (2.109)	Data 0.845 (0.859)	Loss 0.1191 (0.1451)	Prec 0.881 (0.855)	
Epoch: [0][183/849]	Time 2.034 (2.109)	Data 0.844 (0.859)	Loss 0.1197 (0.1450)	Prec 0.880 (0.855)	
Epoch: [0][184/849]	Time 2.035 (2.108)	Data 0.845 (0.859)	Loss 0.1175 (0.1448)	Prec 0.882 (0.855)	
Epoch: [0][185/849]	Time 2.036 (2.108)	Data 0.846 (0.858)	Loss 0.1293 (0.1448)	Prec 0.871 (0.855)	
Epoch: [0][186/849]	Time 2.037 (2.108)	Data 0.844 (0.858)	Loss 0.1378 (0.1447)	Prec 0.862 (0.855)	
Epoch: [0][187/849]	Time 2.034 (2.107)	Data 0.845 (0.858)	Loss 0.1292 (0.1446)	Prec 0.871 (0.855)	
Epoch: [0][188/849]	Time 2.035 (2.107)	Data 0.845 (0.858)	Loss 0.1197 (0.1445)	Prec 0.880 (0.855)	
Epoch: [0][189/849]	Time 2.035 (2.106)	Data 0.845 (0.858)	Loss 0.1279 (0.1444)	Prec 0.872 (0.856)	
Epoch: [0][190/849]	Time 2.035 (2.106)	Data 0.844 (0.858)	Loss 0.1179 (0.1443)	Prec 0.882 (0.856)	
